SL NO,Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,20,,DA,S,24,19-20,295.0589557,3.91,318,,11.3225,78.47944444,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47944444444444 11.3225, 78.47916666666667 11.325)"
23,21,,DA,S,26,20-21,291.0948104,5.03,324,,11.325,78.47916667,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47916666666667 11.325, 78.4786111111111 11.3275)"
24,22,,DC,T,28,21-22,290.2044773,8.36,315,19°48'16''LT,11.3275,78.47861111,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4786111111111 11.3275, 78.4786111111111 11.33)"
25,23,,DA,S,28,22-23,275.2005098,1.08,315,,11.33,78.47861111,GOOD,GOOD,HT,VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4786111111111 11.33, 78.4786111111111 11.3325)"
26,24,,DC,T,24,23-24,261.9013799,2.31,310,12°11'3''RT,11.3325,78.47861111,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4786111111111 11.3325, 78.47833333333334 11.334722222222222)"
27,25,,DD,T,26,24-25,253.0089684,8.28,309,29°5'31''LT,11.33472222,78.47833333,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47833333333334 11.334722222222222, 78.47888888888889 11.337222222222223)"
28,26,,DA,S,27,25-26,301.9338339,1.44,309,,11.33722222,78.47888889,GOOD,GOOD,LT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47888888888889 11.337222222222223, 78.47972222222222 11.339722222222223)"
29,27,,DA,S,26,26-27,299.4971057,4.25,311,,11.33972222,78.47972222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47972222222222 11.339722222222223, 78.48055555555555 11.342222222222222)"
30,28,,DA,S,28,27-28,291.1188427,10.27,310,,11.34222222,78.48055556,GOOD,GOOD,HT,VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48055555555555 11.342222222222222, 78.48138888888889 11.344722222222222)"
31,29,,DA,S,26,28-29,295.8854829,11.35,309,,11.34472222,78.48138889,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48138888888889 11.344722222222222, 78.48222222222222 11.3475)"
32,30,2W,DD,T,24,29-30,316.5946615,9.08,313,29°1'41''RT,11.3475,78.48222222,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48222222222222 11.3475, 78.48138888888889 11.350555555555555)"
33,31,,DA,S,26,30-31,322.8899111,7.36,311,,11.35055556,78.48138889,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48138888888889 11.350555555555555, 78.48083333333334 11.353055555555555)"
34,32,,DB,T,28,31-32,307.7657286,5.01,311,4°49'6''LT,11.35305556,78.48083333,GOOD,GOOD,LT,VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48083333333334 11.353055555555555, 78.48027777777779 11.355555555555556)"
35,33,,DA,S,26,32-33,295.876381,8.12,309,,11.35555556,78.48027778,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48027777777779 11.355555555555556, 78.47944444444444 11.358611111111111)"
36,34,,DD,T,28,33-34,325.4923518,6.75,311,35°5'43''LT,11.35861111,78.47944444,GOOD,GOOD,LT,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47944444444444 11.358611111111111, 78.48 11.360555555555555)"
37,35,,DA,S,26,34-35,253.8128906,11.16,309,,11.36055556,78.48,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48 11.360555555555555, 78.48083333333334 11.363055555555555)"
38,36,,DA,S,24,35-36,274.2235861,3.01,312,,11.36305556,78.48083333,GOOD,GOOD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48083333333334 11.363055555555555, 78.48166666666667 11.365)"
39,37,,DA,S,26,36-37,251.3284663,1.09,311,,11.365,78.48166667,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48166666666667 11.365, 78.48222222222222 11.367222222222223)"
40,38,,DC,T,28,37-38,260.5612717,8.76,313,19°38'9''RT,11.36722222,78.48222222,GOOD,GOOD,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48222222222222 11.367222222222223, 78.48388888888888 11.369166666666667)"
41,39,,DA,S,24,38-39,287.3837796,8.28,315,,11.36916667,78.48388889,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48388888888888 11.369166666666667, 78.48555555555555 11.371111111111112)"
42,40,,DD,T,24,39-40,292.7646285,1.44,318,32°43'56''LT,11.37111111,78.48555556,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48555555555555 11.371111111111112, 78.48583333333333 11.374166666666667)"
43,41,,DA,S,26,40-41,312.581705,4.25,310,,11.37416667,78.48583333,GOOD,GOOD,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48583333333333 11.374166666666667, 78.48611111111111 11.376666666666667)"
44,42,,DC,T,26,41-42,284.4948919,10.27,309,11°3'30''RT,11.37666667,78.48611111,GOOD,GOOD,,CANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48611111111111 11.376666666666667, 78.48694444444445 11.37888888888889)"
45,43,2W,DC,T,26,42-43,260.4108504,11.35,309,21°39'42''RT,11.37888889,78.48694444,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48694444444445 11.37888888888889, 78.48694444444445 11.381666666666668)"
46,44,,DA,S,24,43-44,309.1234315,9.08,311,,11.38166667,78.48694444,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48694444444445 11.381666666666668, 78.48666666666666 11.384444444444444)"
47,45,,DA,S,24,44-45,317.8506036,7.36,310,,11.38444444,78.48666667,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48666666666666 11.384444444444444, 78.48666666666666 11.386944444444444)"
48,46,,DC,T,26,45-46,280.9875096,5.01,309,15°10'54''LT,11.38694444,78.48666667,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48666666666666 11.386944444444444, 78.48611111111111 11.38888888888889)"
49,47,,DA,S,24,46-47,243.7933582,8.12,313,,11.38888889,78.48611111,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48611111111111 11.38888888888889, 78.48555555555555 11.390833333333333)"
50,48,,DA,S,26,47-48,223.6938306,6.75,311,,11.39083333,78.48555556,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48555555555555 11.390833333333333, 78.48472222222222 11.393055555555556)"
51,49,,DA,S,24,48-49,258.9102007,11.16,311,,11.39305556,78.48472222,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48472222222222 11.393055555555556, 78.48416666666667 11.395)"
52,50,,DD,T,24,49-50,231.6473407,3.01,309,30°21'17''LT,11.395,78.48416667,GOOD,GOOD,,VILLAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48416666666667 11.395, 78.48444444444445 11.397222222222222)"
53,51,,DA,S,26,50-51,270.2610455,1.09,311,,11.39722222,78.48444444,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48444444444445 11.397222222222222, 78.485 11.399722222222222)"
54,52,,DA,S,29,51-52,277.5343411,8.76,309,,11.39972222,78.485,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.485 11.399722222222222, 78.48527777777778 11.4025)"
55,53,,DB,T,26,52-53,300.514251,8.28,312,7°32'32''RT,11.4025,78.48527778,GOOD,GOOD,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48527777777778 11.4025, 78.48611111111111 11.404444444444445)"
56,54,,DC,T,26,53-54,236.9278377,3.01,301,15°12'26''LT,11.40444444,78.48611111,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48611111111111 11.404444444444445, 78.48611111111111 11.404444444444445)"
56,55,,DD,T,26,54-55,280,3.01,301,,11.40444444,78.48611111,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
