S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 92/1 LILO,,T,MC,45,,,2.67,336,NIL,,77.45025,11.03311111,GOOD,LT,NIL,PLAIN,ALAGUMALAI LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45025 11.033111111111111, 77.44858333333333 11.033666666666667)"
2,T.NO 2,,T,DB,24,92/1-2,194.1803286,5.2,338,"13°47'17""",,77.44858333,11.03366667,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44858333333333 11.033666666666667, 77.44616666666667 11.033833333333334)"
3,T.NO 3,,T,DC,26,02-Mar,264.6129249,4.68,336,"20°29'36""",,77.44616667,11.03383333,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44616666666667 11.033833333333334, 77.44380555555556 11.034916666666666)"
4,T.NO 4,,T,DC,26,03-Apr,283.2896045,3.2,341,"24°48'16""",,77.44380556,11.03491667,GOOD,2nos LT,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44380555555556 11.034916666666666, 77.44125000000001 11.034916666666666)"
5,T.NO 5,,T,DD,28,04-May,279.0071684,1.15,346,"91°3'29""",,77.44125,11.03491667,GOOD,"HT,LT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44125000000001 11.034916666666666, 77.44127777777778 11.034222222222223)"
6,T.NO 6,,T,DD,28,05-Jun,78.02563681,4.38,347,"80°41'4""",,77.44127778,11.03422222,GOOD,2nos HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44127777777778 11.034222222222223, 77.44108333333334 11.034194444444445)"
7,GANTRY 110KV ALAGUMALAI SS,2W,T,GANTRY,15,6-GANTRY,21.37755833,,346,,,77.44108333,11.03419444,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTHWIRE TERMINATED IN TAKEOFF TOWER OF 110KV ALAGUMALAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
