S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.NO 17,T,DC,26,16-17,182.58422713914803,IN LAKE,422,"16°19'18""",76.96044444444445,10.98772222222222,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96044444444445 10.98772222222222, 76.96141666666666 10.987805555555555)"
18,T.NO 18,T,MONOPOLE,35,17-18,109.29318368498559,ROAD,424,"0°7'6""",76.96141666666666,10.987805555555555,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96141666666666 10.987805555555555, 76.96191666666667 10.987833333333333)"
19,T.NO 19,T,MONOPOLE,35,18-19,53.150729063673246,ROAD,425,"1°14'58""",76.96191666666667,10.987833333333333,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96191666666667 10.987833333333333, 76.96241666666667 10.98786111111111)"
20,T.NO 20,T,MONOPOLE,35,19-20,56.08029957123981,ROAD,425,"0°0'0""",76.96241666666667,10.98786111111111,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96241666666667 10.98786111111111, 76.96294444444445 10.98786111111111)"
21,T.NO 21,T,MONOPOLE,35,20-21,56.08029957123981,ROAD,425,"0°48'43""",76.96294444444445,10.98786111111111,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96294444444445 10.98786111111111, 76.96347222222222 10.987916666666665)"
22,T.NO 22,T,MONOPOLE,35,21-22,59.135437767890075,ROAD,425,"4°56'31""",76.96347222222222,10.987916666666665,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96347222222222 10.987916666666665, 76.964 10.987972222222222)"
23,T.NO 23,T,MONOPOLE,35,22-23,58.69412236331676,ROAD,425,"6°42'13""",76.964,10.987972222222222,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.964 10.987972222222222, 76.9645 10.98811111111111)"
24,T.NO 24,T,MONOPOLE,35,23-24,56.04462507680822,ROAD,425,"1°15'31""",76.9645,10.98811111111111,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9645 10.98811111111111, 76.96508333333334 10.988277777777776)"
25,T.NO 25,T,MONOPOLE,35,24-25,65.80273550544841,ROAD,424,"5°41'48""",76.96508333333334,10.988277777777776,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96508333333334 10.988277777777776, 76.96561111111112 10.988499999999998)"
26,T.NO 26,T,MONOPOLE,35,25-26,62.76941930590086,ROAD,424,"51°43'5""",76.96561111111112,10.988499999999998,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96561111111112 10.988499999999998, 76.96575 10.988972222222221)"
27,T.NO 27,T,MONOPOLE,35,26-27,55.08175741568164,ROAD,422,"61°55'58""",76.96575,10.988972222222221,GOOD,GOOD,,TAAR ROAD,"PLAIN,ROAD",UKKADAM CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96575 10.988972222222221, 76.96597222222222 10.989027777777777)"
28,GANTRY UKKADAM 110KV SS,,,,27-Gantry,23.53720459187964,,425,,76.96597222222222,10.989027777777777,GOOD,MISSING,,,,NO EARTH WIRE.110KV UKKADAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
