S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 35,,S,DA,26,36-35,320.6571378,7.83,345,"0°00'00""",77.30180556,11.06286111,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30180555555555 11.062861111111111, 77.29894444444444 11.062333333333335)"
12,T.NO 34,,S,DA,26,35-34,319.8702862,6.48,342,"0°00'00""",77.29894444,11.06233333,GOOD,GOOD,NIL,POND,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29894444444444 11.062333333333335, 77.29691666666666 11.06188888888889)"
13,T.NO 33,2W,T,DD,28,34-33,225.8340098,3.4,348,"31°22'26""",77.29691667,11.06188889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29691666666666 11.06188888888889, 77.29566666666666 11.06075)"
14,T.NO 32,,S,DA,26,33-32,186.810064,5.83,353,"0°00'00""",77.29566667,11.06075,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29566666666666 11.06075, 77.2936111111111 11.058916666666667)"
15,T.NO 31,,S,DA,26,32-31,302.8530997,7.05,352,"0°00'00""",77.29361111,11.05891667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2936111111111 11.058916666666667, 77.29202777777778 11.057416666666667)"
16,T.NO 30,,S,DA,26,31-30,241.1493313,5.83,353,"0°00'00""",77.29202778,11.05741667,GOOD,GOOD,NIL,TAARROAD,PLAIN,KARAIPUDUR MAIN ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29202777777778 11.057416666666667, 77.28980555555556 11.055416666666668)"
17,T.NO 29,,S,DA,26,30-29,326.9892965,4.25,355,"0°00'00""",77.28980556,11.05541667,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28980555555556 11.055416666666668, 77.28769444444444 11.053472222222222)"
18,T.NO 28,,S,DA,26,29-28,314.7586377,4.09,358,"0°00'00""",77.28769444,11.05347222,GOOD,GOOD,NIL,CANAL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28769444444444 11.053472222222222, 77.2855 11.0515)"
19,T.NO 27,,S,DA,26,28-27,325.46582,6.18,363,"0°00'00""",77.2855,11.0515,GOOD,GOOD,NIL,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2855 11.0515, 77.28363888888889 11.04975)"
20,T.NO 26,,T,DD,28,27-26,280.8291295,9.56,369,"30°58'15""",77.28363889,11.04975,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28363888888889 11.04975, 77.28097222222222 11.049222222222221)"
21,T.NO 25,,S,DA,26,26-25,295.5757094,7.05,365,"0°00'00""",77.28097222,11.04922222,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28097222222222 11.049222222222221, 77.27808333333333 11.048583333333333)"
22,T.NO 24,,S,DA,26,25-24,324.0987504,3.42,369,"0°00'00""",77.27808333,11.04858333,GOOD,GOOD,NIL,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27808333333333 11.048583333333333, 77.27522222222223 11.048027777777778)"
23,T.NO 23,,S,DA,26,24-23,319.882791,5.83,370,"0°00'00""",77.27522222,11.04802778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27522222222223 11.048027777777778, 77.27463888888889 11.047916666666666)"
24,T.NO 22 LILO NARANAPURAM ,3W,T,DB,24,23-22,63.15061362,4.55,374,"0°49'29""",77.27463889,11.04791667,GOOD,GOOD,"3NOS LT,3NOS HT",NIL,PLAIN,NARANAPURAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27463888888889 11.047916666666666, 77.27255555555556 11.047444444444444)"
25,T.NO 21,,T,DC,26,22-21,235.0531855,8.53,377,"26°56'29""",77.27255556,11.04744444,GOOD,GOOD,NIL,TAARROAD,PLAIN,AVINASHI - PALLADAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27255555555556 11.047444444444444, 77.27055555555556 11.045833333333333)"
26,T.NO 20,,S,DA,26,21-20,281.8102198,5.32,376,"0°00'00""",77.27055556,11.04583333,GOOD,GOOD,3NOS LT ,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27055555555556 11.045833333333333, 77.26858333333334 11.044194444444445)"
27,T.NO 19,,S,DA,26,20-19,281.6895454,4.67,371,"0°00'00""",77.26858333,11.04419444,GOOD,GOOD,LT,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26858333333334 11.044194444444445, 77.26658333333333 11.042555555555555)"
28,T.NO 18,,S,DA,26,19-18,283.0989226,4.39,372,"0°00'00""",77.26658333,11.04255556,GOOD,GOOD,NIL,,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26658333333333 11.042555555555555, 77.26438888888889 11.040777777777778)"
29,T.NO 17,,S,DA,26,18-17,310.3626911,3.32,376,"0°00'00""",77.26438889,11.04077778,GOOD,GOOD,"LT,HT",MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26438888888889 11.040777777777778, 77.26216666666667 11.039)"
30,T.NO 16,,S,DA,26,17-16,313.8184188,5.6,377,"0°00'00""",77.26216667,11.039,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26216666666667 11.039, 77.26002777777778 11.037222222222223)"
31,T.NO 15,,S,DA,26,16-15,305.1196487,7.36,377,"0°00'00""",77.26002778,11.03722222,GOOD,GOOD,NIL,TAARROAD,PLAIN,VELAMPALAYAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26002777777778 11.037222222222223, 77.25797222222222 11.035555555555556)"
32,T.NO 14,2W,T,DC,26,15-14,289.7481665,6.25,383,"25°15'16""",77.25797222,11.03555556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25797222222222 11.035555555555556, 77.25683333333333 11.033222222222223)"
33,T.NO 13,,S,DA,26,14-13,286.7228627,7.8,383,"0°00'00""",77.25683333,11.03322222,GOOD,GOOD,LT,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25683333333333 11.033222222222223, 77.25561111111111 11.030666666666667)"
34,T.NO 12,,S,DA,26,13-Dec,314.5743155,13.97,379,"0°00'00""",77.25561111,11.03066667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25561111111111 11.030666666666667, 77.25441666666667 11.028111111111112)"
35,T.NO 11,,S,DA,26,12-Nov,311.5124396,7.43,385,"0°00'00""",77.25441667,11.02811111,GOOD,GOOD,HT,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25441666666667 11.028111111111112, 77.25319444444445 11.025583333333334)"
36,T.NO 10,,S,DA,26,11-Oct,309.5545186,7.95,383,"0°00'00""",77.25319444,11.02558333,GOOD,GOOD,"LT,HT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25319444444445 11.025583333333334, 77.25197222222222 11.022944444444445)"
37,T.NO 9,,S,DA,26,10-Sep,320.449684,7.68,388,"0°00'00""",77.25197222,11.02294444,GOOD,GOOD,NIL,TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25197222222222 11.022944444444445, 77.25072222222222 11.020361111111113)"
38,T.NO 8,,T,DB,24,09-Aug,316.3194588,6.95,395,"7°8'9""",77.25072222,11.02036111,GOOD,GOOD,NIL,MUDROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25072222222222 11.020361111111113, 77.24941666666666 11.018333333333334)"
39,T.NO 7,,S,DA,26,08-Jul,266.5970743,7.38,392,"0°00'00""",77.24941667,11.01833333,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24941666666666 11.018333333333334, 77.24791666666667 11.016083333333333)"
40,T.NO 6,,S,DA,26,07-Jun,299.0401311,5.2,391,"0°00'00""",77.24791667,11.01608333,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24791666666667 11.016083333333333, 77.24644444444445 11.01375)"
41,T.NO 5,,S,DA,26,06-May,303.9111712,6.18,393,"0°00'00""",77.24644444,11.01375,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24644444444445 11.01375, 77.2448888888889 11.01136111111111)"
42,T.NO 4,,S,DA,26,05-Apr,314.3024022,5.05,393,"0°00'00""",77.24488889,11.01136111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2448888888889 11.01136111111111, 77.2448888888889 11.01125)"
43,T.NO 1 KALIVELAMPATTI   LILO,2W,T,DD,28,04-Jan,14,7.15,392,"110°16'31""",77.24488889,11.01125,GOOD,GOOD,NIL,NIL,PLAIN,KALIVELAMPATTI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2448888888889 11.01125, 77.24644444444445 11.010916666666667)"
44,T.NO 2,,T,DB,24,01-Feb,173.5655496,8.73,402,"3°30'13""",77.24644444,11.01091667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24644444444445 11.010916666666667, 77.24683333333333 11.010861111111112)"
45,GT-KALIVELAMPATTI 110kv SS,2W,T,GANTRY,15,2-GT,42.42640687,NIL,394,"0°00'00""",77.24683333,11.01086111,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF KALIVELAMPATTI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                                                                                                                                                                                                                                               TOWER HEIGHT; A-TYPE 26M , B-TYPE 24M ,                                                                                                                                                                                                                                                                                                                                     C-TYPE 26M, D-TYPE 28M,GANTRY TOWER 15M,                                                                                                                                                                                                                                                                                                                             MA-45,MB-42M,MC-45M,MD-48M                                                                                                                                                                                                                                                                                                                                                               M-MULTI CIRCUIT, D-DOUBLE CIRCUIT, S-SINGLE                                                                                                                                                                                   CIRCUIT     ",,,,,,TOTAL,11327M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                               T.M.ARULMANIKANDAN                                                                                                                                                         Assistant manager                                                                                                                                                                                                                                                                                                                                                  M/S Sterlite power transmission Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
