Tower No,JOINT BOX,Tower Type,,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Kariamangalam Gantry ,2W,Gantry ,T,20,,,,,,,,,12.30469,78.21159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21159 12.30469, 78.21144 12.30488)"
1,,KCR/T,T,26,Gantry to 1,30,26.62836866,,-8.071050332,6.7,476,90°3'6'' RT,12.30488,78.21144,good,good ,,,plain,inside s/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21144 12.30488, 78.21165 12.30504)"
2,,KCR/T,T,26,1 to 2,40,28.91969718,,-3.620691031,4.6,475,30°40'18'' RT,12.30504,78.21165,good,good ,,,plain,inside s/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21165 12.30504, 78.21361 12.30528)"
3,,KCR/T,T,26,2 to 3,220,215.0112717,,-17.67863141,3.6,470,13°37'45'' LT,12.30528,78.21361,good,good ,33kv LINE CROSSING,,Plain ,Agri land  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21361 12.30528, 78.21404 12.30544)"
4,,DP I/T,T,24,3 to 4,60,50.0485084,,-25.85735791,3.9,469,13°24'34''  LT,12.30544,78.21404,good,good ,230 kv Line crossing  Jyothinalli to Kariya mangalam,,Plain ,230 kv Line crossing  Jyothinalli to Kariya mangalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21404 12.30544, 78.21458 12.3058)"
5,,DP II/T,T,24,4 to 5 ,50,71.02020357,,-11.54407302,3.9,469,76°6'40'' RT,12.3058,78.21458,good,good ,,,Plain ,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21458 12.3058, 78.21484 12.30557)"
6,,KCR +3/T,T,32,5 to 6 ,30,38.07105033,,27.85886133,3.5,470,73°24'5'' LT,12.30557,78.21484,good ,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21484 12.30557, 78.21722 12.307)"
7,,KCR +3/T,T,29,6 to 7,300,303.620691,,3.666867678,6.7,470,48°3'6''  LT,12.307,78.21722,good ,good ,,road,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21722 12.307, 78.21756 12.3088)"
8,,KCR/T,T,26,7 to 8,185,202.6786314,,-11.41373514,5,468,53°1'41''   RT,12.3088,78.21756,good,good ,LT  LINE CROSSING,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21756 12.3088, 78.21987 12.30993)"
9,,HCR/T,T,24,8 to 9,255,280.8573579,,4.926021852,5.3,472,40°15'36''  LT,12.30993,78.21987,good ,good ,,,Plain ,Agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21987 12.30993, 78.22082 12.3121)"
