S. No ,Tower No,Joint Box, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,TAPPING 5,,T,26,,,8.91,303,,11.2365,77.57876,GOOD,GOOD,,,,GANGA SCHOOL BACK SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57876 11.2365, 77.57722 11.23532)"
2,6,,T,24,05-Jun,213.0032146,15.7,292,"1⁰8'44"" RT",11.23532,77.57722,GOOD,GOOD,,SAND ROAD/ COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57722 11.23532, 77.57571 11.23421)"
3,7,,S,26,06-Jul,205.7046663,14.27,296,,11.23421,77.57571,GOOD,GOOD,LT,SAND ROAD/ FENCING,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57571 11.23421, 77.57425 11.23312)"
4,8,,S,26,07-Aug,200.0065903,6.53,296, ,11.23312,77.57425,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57425 11.23312, 77.57274 11.23205)"
5,9,,S,26,08-Sep,203.0921319,13.48,293,,11.23205,77.57274,GOOD,GOOD,LT,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57274 11.23205, 77.57118 11.23088)"
6,10,,T,24,09-Oct,214.0633893,9.83,296,"9⁰12'34"" RT",11.23088,77.57118,GOOD,GOOD,,SAND ROAD/ FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57118 11.23088, 77.5692 11.22984)"
7,11,,S,26,10-Nov,245.0598252,4.87,300,,11.22984,77.5692,GOOD,GOOD,,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5692 11.22984, 77.5674 11.2289)"
8,12,,S,26,11-Dec,222.4990012,7.06,298,,11.2289,77.5674,GOOD,GOOD,230 KV M/C LINE,SAND ROAD,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5674 11.2289, 77.56533 11.2278)"
9,13,,S,26,Dec-13,256.8642073,8.95,301,,11.2278,77.56533,GOOD,GOOD,LT/11 KV,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56533 11.2278, 77.56356 11.22686)"
10,14,,S,26,13-14,219.6073835,6.24,300,,11.22686,77.56356,GOOD,GOOD,,,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56356 11.22686, 77.56166 11.22585)"
11,15,,S,26,14-15,235.7874026,12.19,297,,11.22585,77.56166,GOOD,GOOD,LT/11 KV,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56166 11.22585, 77.55971 11.22482)"
12,16,,S,26,15-16,241.6482753,9.72,298,,11.22482,77.55971,GOOD,GOOD,LT,FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55971 11.22482, 77.55785 11.22386)"
13,17,,T,24,16-17,229.3332374,12.92,302,"1⁰1'44"" LT",11.22386,77.55785,GOOD,GOOD,22 KV,TAR ROAD/FENCING,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55785 11.22386, 77.55618 11.22296)"
14,18,,S,26,17-18,207.8923723,9.08,302,,11.22296,77.55618,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55618 11.22296, 77.55412 11.2219)"
15,19,,T,24,18-19,253.8281211,6.47,297,"1⁰48'18"" LT",11.2219,77.55412,GOOD,GOOD,,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55412 11.2219, 77.55266 11.22109)"
16,20,,S,26,19-20,182.9934095,8.15,297,,11.22109,77.55266,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55266 11.22109, 77.55105 11.22023)"
17,21,,T,26,20-21,200.0187843,11.34,294,"16⁰36'36"" RT",11.22023,77.55105,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55105 11.22023, 77.55042 11.2201)"
18,22,,T,28,21-22,70.32568349,14.75,292,"110⁰26'39"" RT",11.2201,77.55042,GOOD,NO,,TAR ROAD /FENCING,,SUB STATION IN THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55042 11.2201, 77.55044 11.22023)"
19,SIPCOT - II GANTRY,2W,T,20,22 -GANTRY,14.55318451,,294,,11.22023,77.55044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
