S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,13,,Suspension,SA+0,26,16-17,183,2.5,415,,12.66518333,78.64724444,GOOD,GOOD,11kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64724444444445 12.665183333333333, 78.64883611111112 12.664133333333334)"
16,14,,Tension,SD+9,37,17-18,203,2.95,425," 24°35'15.34""LT",12.66413333,78.64883611,GOOD,GOOD,LT,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64883611111112 12.664133333333334, 78.6497138888889 12.664044444444444)"
17,15,2W,Tension,SD+9,37,18-19,107,3.2,425," 37°45'29.84""RT",12.66404444,78.64971389,GOOD,GOOD,LT,Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6497138888889 12.664044444444444, 78.65185000000001 12.661880555555555)"
18,16,,Suspension,SA+0,26,19-20,335,3.8,412,,12.66188056,78.65185,GOOD,GOOD,11kv,Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65185000000001 12.661880555555555, 78.65338055555556 12.660269444444445)"
19,17,,Suspension,SA+0,26,20-21,249,5.75,417,,12.66026944,78.65338056,GOOD,GOOD,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65338055555556 12.660269444444445, 78.65467222222223 12.658952777777777)"
20,18,,Tension,SB+0,24,21-22,208,3.04,417," 3°3'2.33""RT",12.65895278,78.65467222,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65467222222223 12.658952777777777, 78.6557138888889 12.65773888888889)"
21,19,,Suspension,SA+0,26,22-23,179,4.12,421,,12.65773889,78.65571389,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6557138888889 12.65773888888889, 78.65797222222223 12.655502777777778)"
22,20,,Suspension,SA+0,26,23-24,354,2.25,427,,12.65550278,78.65797222,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65797222222223 12.655502777777778, 78.65965277777778 12.653791666666667)"
23,21,,Tension,SD+0,28,24-25,266,3.03,426," 32°23’52.18""LT",12.65379167,78.65965278,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65965277777778 12.653791666666667, 78.66225277777778 12.653163888888889)"
24,22,,Suspension,SA+0,26,25-26,294,5.1,430,,12.65316389,78.66225278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66225277777778 12.653163888888889, 78.66451111111111 12.652694444444444)"
25,23,,Suspension,SA+0,26,26-27,260,4,437,,12.65269444,78.66451111,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66451111111111 12.652694444444444, 78.66612500000001 12.652355555555555)"
26,24,,Tension,SD+9,37,27-28,179,6.35,442," 9°29’8.1""LT",12.65235556,78.666125,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66612500000001 12.652355555555555, 78.66870277777778 12.652305555555555)"
27,25,,Tension,SD+0,28,28-29,291,2.13,445," 20°10'13.31""RT",12.65230556,78.66870278,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66870277777778 12.652305555555555, 78.67091944444445 12.651405555555556)"
28,26,,Suspension,SA+0,26,29-30,266,3.97,436,,12.65140556,78.67091944,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67091944444445 12.651405555555556, 78.67379166666667 12.6503)"
29,27,,Suspension,SA+0,26,30-31,336,2.77,440,,12.6503,78.67379167,GOOD,GOOD,"LT, 11kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67379166666667 12.6503, 78.67671944444444 12.649141666666667)"
30,28,,Suspension,SA+0,26,31-32,347,3.1,435,,12.64914167,78.67671944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67671944444444 12.649141666666667, 78.67819444444444 12.648577777777778)"
31,29,2W,Tension,SB+0,24,32-33,179,4.7,432," 0°16'14.81""RT",12.64857778,78.67819444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67819444444444 12.648577777777778, 78.68050555555556 12.647644444444444)"
32,30,,Suspension,SA+0,26,33-34,276,5,438,,12.64764444,78.68050556,GOOD,GOOD,11kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68050555555556 12.647644444444444, 78.68273055555557 12.646799999999999)"
33,31,,Tension,SC+0,26,34-35,261,5.4,447,"20°8'55.1""RT",12.6468,78.68273056,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68273055555557 12.646799999999999, 78.68493611111111 12.644938888888888)"
34,32,,Suspension,SA+0,26,35-36,322,4.3,437,,12.64493889,78.68493611,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68493611111111 12.644938888888888, 78.68728333333334 12.642891666666666)"
35,33,,Suspension,SA+0,26,36-37,345,2.7,438,,12.64289167,78.68728333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68728333333334 12.642891666666666, 78.68895277777779 12.641494444444444)"
36,34,,Suspension,SA+0,26,37-38,248,7.1,444,,12.64149444,78.68895278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68895277777779 12.641494444444444, 78.69072222222222 12.639975)"
37,35,,Tension,SC+0,26,38-39,259,6.3,445," 25°38’43.97""LT",12.639975,78.69072222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69072222222222 12.639975, 78.69339722222223 12.639266666666666)"
38,36,,Suspension,SA+0,26,39-40,306,5.5,450,,12.63926667,78.69339722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69339722222223 12.639266666666666, 78.69596111111112 12.638636111111111)"
39,37,,Suspension,SA+0,26,40-41,291,4.2,453,,12.63863611,78.69596111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69596111111112 12.638636111111111, 78.69833333333334 12.637972222222222)"
40,38,,Tension,SB+0,24,41-42,271,2.8,455," 0°0’26.85""LT",12.63797222,78.69833333,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69833333333334 12.637972222222222, 78.70080555555556 12.637341666666666)"
41,39,,Suspension,SA+0,26,42-43,283,3.7,458,,12.63734167,78.70080556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70080555555556 12.637341666666666, 78.70320277777778 12.636694444444444)"
42,40,,Suspension,SA+0,26,43-44,275,6.19,460,,12.63669444,78.70320278,GOOD,GOOD,11kv,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70320277777778 12.636694444444444, 78.70524166666667 12.636169444444445)"
43,41,,Suspension,SA+0,26,44-45,233,3.17,457,,12.63616944,78.70524167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70524166666667 12.636169444444445, 78.70650277777779 12.635872222222222)"
44,42,2W,Tension,SB+0,24,45-46,146,7.3,460," 13°34'54.96""RT",12.63587222,78.70650278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70650277777779 12.635872222222222, 78.7089 12.634580555555555)"
45,43,,Suspension,SA+0,26,46-47,300,8.25,461,,12.63458056,78.7089,GOOD,GOOD,"Four LT, 11kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7089 12.634580555555555, 78.71151388888889 12.633233333333333)"
46,44,,Suspension,SA+0,26,47-48,325,7.31,460,,12.63323333,78.71151389,GOOD,GOOD,"11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71151388888889 12.633233333333333, 78.71315 12.632369444444445)"
47,45,,Suspension,SA+0,26,48-49,205,6.1,459,,12.63236944,78.71315,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71315 12.632369444444445, 78.71508333333334 12.631411111111111)"
48,46,,Suspension,SA+0,26,49-50,240,2.91,460,,12.63141111,78.71508333,GOOD,GOOD,11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71508333333334 12.631411111111111, 78.71730277777777 12.630255555555555)"
49,47,,Tension,SD+0,28,50-51,282,3.57,461," 32°42'23.45""LT",12.63025556,78.71730278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71730277777777 12.630255555555555, 78.71973888888888 12.630375)"
50,48,,Suspension,SA+0,26,51-52,266,4.11,465,,12.630375,78.71973889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71973888888888 12.630375, 78.72154166666667 12.630533333333334)"
51,49,,Tension,SC+0,26,52-53,204,2.13,470," 15°44’55.1""LT",12.63053333,78.72154167,GOOD,GOOD,Two LT,"Road, Fencing Wire",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72154166666667 12.630533333333334, 78.72392500000001 12.631422222222223)"
52,50,,Suspension,SA+0,26,53-54,279,4.7,471,,12.63142222,78.723925,GOOD,GOOD,"11kv, Two LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72392500000001 12.631422222222223, 78.72589722222223 12.632216666666666)"
53,51,,Tension,SD+0,28,54-55,238,5.4,473," 31°54'28.89""RT",12.63221667,78.72589722,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72589722222223 12.632216666666666, 78.72831111111111 12.631786111111111)"
54,52,,Suspension,SA+0,26,55-56,269,5.08,473,,12.63178611,78.72831111,GOOD,GOOD,"11kv, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72831111111111 12.631786111111111, 78.73103888888889 12.631375)"
55,53,,Suspension,SA+0,26,56-57,300,4.74,472,,12.631375,78.73103889,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73103888888889 12.631375, 78.73384166666666 12.630855555555556)"
56,54,,Suspension,SA+0,26,57-58,319,2.98,472,,12.63085556,78.73384167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73384166666666 12.630855555555556, 78.73534166666667 12.630588888888889)"
57,55,,Suspension,SA+0,26,58-59,170,4.64,473,,12.63058889,78.73534167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73534166666667 12.630588888888889, 78.736725 12.630411111111112)"
58,56,2W,Tension,SB+0,24,59-60,156,5.52,470," 12°12'10.6""LT",12.63041111,78.736725,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.736725 12.630411111111112, 78.739675 12.630697222222222)"
59,57,,Suspension,SA+0,26,60-61,324,4.38,472,,12.63069722,78.739675,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.739675 12.630697222222222, 78.74119166666667 12.630927777777778)"
60,58,,Suspension,SA+0,26,61-62,171,2.49,474,,12.63092778,78.74119167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74119166666667 12.630927777777778, 78.74364722222222 12.631119444444446)"
61,59,,Suspension,SA+0,26,62-63,272,5.02,480,,12.63111944,78.74364722,GOOD,GOOD,"11kv, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74364722222222 12.631119444444446, 78.74602777777778 12.631419444444445)"
62,60,,Suspension,SA+0,26,63-64,267,4.41,486,,12.63141944,78.74602778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74602777777778 12.631419444444445, 78.74824166666667 12.631719444444444)"
63,61,,Tension,SB+0,24,64-Alangayam Gantry,247,3.5,496," 3°43'5.13""RT",12.63171944,78.74824167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74824166666667 12.631719444444444, 78.74991666666666 12.631897222222223)"
64,62,,Suspension,SA+0,26,Alangayam Gantry-,186,4.02,498,,12.63189722,78.74991667,GOOD,GOOD,"11kv, Three LT",Two Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74991666666666 12.631897222222223, 78.75258055555555 12.632208333333335)"
65,63,,Suspension,SA+0,26,-,297,5.9,502,,12.63220833,78.75258056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75258055555555 12.632208333333335, 78.75481666666667 12.632461111111112)"
66,64,,Tension,SD+0,28,-,249,6.2,508," 12°41'46.67""RT",12.63246111,78.75481667,GOOD,GOOD,"11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75481666666667 12.632461111111112, 78.75525833333333 12.632402777777779)"
67,Alangayam Gantry,2W,,Gantry,15,-,53,-,504,,12.63240278,78.75525833,GOOD,NO E/W,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
