S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"LOC 1 
LILO 245",LSR+3,35,,,,,,"81°00'00""(LT)",12.576458417789842,78.49090590616703,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49090590616703 12.576458417789842, 78.49093038771565 12.573937852287724)"
2,2,LSR,35,LOC 1 - 2,280,=F8,,,"32°53'05""(RT)",12.573937852287724,78.49093038771565,GOOD,NO,LT LINE- 1,VELAKKALNATHAM - KALLUKUTTAI CART  TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49093038771565 12.573937852287724, 78.49011818654908 12.571382341044067)"
3,3,KSR+6,35,2-3,300,=F9,,,"12°05'14""(LT)",12.571382341044067,78.49011818654908,GOOD,NO,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49011818654908 12.571382341044067, 78.48991317786451 12.568814450201753)"
4,4,KSR,35,3-4,290,=F10,,,"07°29'04""(RT)",12.568814450201753,78.48991317786451,GOOD,NO,LT LINE - 1 NO,VELAKKALNATHAM - VELLERIPATTY BT ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,GR+3,35,4-5,210,=F11,,,,12.56679553946626,78.48947749284699,GOOD,NO,,CART TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,KSR+3,35,5-6,250,=F12,,,"08°28'22""(RT)",12.564776628730765,78.48904180782945,GOOD,NO,LT LINE - 1 NO,VELAKKALNATHAM - PULLANERI KOOT ROAD B.T ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,KSR+3,35,6-7,280,=F13,,,,12.562218204132485,78.48888269778621,GOOD,NO,LT LINE - 1 NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,KSR+6,35,7-8,290,=F14,,,"09°36'48""(RT)",12.559659779534206,78.48872358774298,GOOD,NO,HT LINE - 1 & LT LINE - 1NO,VELAKKALNATHAM  - B.T. ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,GR,35,8-9,300,=F15,,,,12.557088099205437,78.48811393173413,GOOD,NO,,POND & CART TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,KSR+6,35,9-10,285,=F16,,,"19°31'24""(LT)",12.554516418876666,78.48750427572529,GOOD,NO,,MANGO GROOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48750427572529 12.554516418876666, 78.4877655737394 12.552232986956328)"
