S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,22,T,DC,26,21 - 22,239.6204096688345,13.55,4.85,2.7,30.2,77,31°14'45''RT,12.2306125983595,79.5524509716778,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5524509716778 12.2306125983595, 79.5509736612439 12.2318433970212)"
25,23,T,DC,26,22 - 23,212.13959879840465,110,19.5,7.7,138.9,79,24°8'49''LT,12.2318433970212,79.5509736612439,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5509736612439 12.2318433970212, 79.5498582813888 12.2341247834265)"
26,24,S,DC,28,23 - 24,281.51468256360073,,,,,77,,12.2341247834265,79.5498582813888,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5498582813888 12.2341247834265, 79.5486874133348 12.2364600654691)"
27,25,T,DC,26,24 - 25,289.5175143900166,17.25,7.25,6.5,0,75,17°57'31''LT,12.2364600654691,79.5486874133348,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5486874133348 12.2364600654691, 79.548439476639 12.2380860708653)"
28,26,S,DC,28,25 - 26,183.37056434021548,,,,,74,,12.2380860708653,79.548439476639,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.548439476639 12.2380860708653, 79.5481340400874 12.2401637770235)"
29,27,S,DC,28,26 - 27,233.71348614606728,,,,,72,,12.2401637770235,79.5481340400874,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5481340400874 12.2401637770235, 79.5478853490203 12.2419344540685)"
30,28,T,DC,26,27 - 28,199.22179314720563,17.95,8.3,6.8,25.2,74,42°54'3''LT,12.2419344540685,79.5478853490203,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5478853490203 12.2419344540685, 79.5494175609201 12.2441303450614)"
31,29,T,DC,26,28 - 29,296.094884671638,17.95,8.3,6.8,25.2,76,10°25'53''LT,12.2441303450614,79.5494175609201,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5494175609201 12.2441303450614, 79.5509718172252 12.2456664126366)"
32,30,T,DC,26,29 - 30,241.2122334724119,17.95,8.25,6.9,23.3,78,0°18'52''RT,12.2456664126366,79.5509718172252,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5509718172252 12.2456664126366, 79.5527637004852 12.2474568709731)"
33,31,T,DC,26,30 - 31,279.3968624543943,18.55,10.25,6.2,59.7,83,5°59'6''LT,12.2474568709731,79.5527637004852,GOOD,Available,"HT -3, LT -2",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5527637004852 12.2474568709731, 79.5548319350928 12.2491312399506)"
34,32,T,DC,26,31 - 32,292.9279688049438,22,13.8,8.7,78,85,15°5'32''LT,12.2491312399506,79.5548319350928,GOOD,Available,HT -2,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5548319350928 12.2491312399506, 79.5549970585852 12.2492044139653)"
35,"Gantry 
 ( Elamangalam SS )",T,H-POLE,15,32 - Gantry,21.203281601918064,,,,,86,,12.2492044139653,79.5549970585852,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
