Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1 LILO,LILO,26,,,,148.198822,,11.130132405038733,78.45921815387632,GOOD,GOOD,,,PLAIN,DC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45921815387632 11.130132405038733, 78.4595821531417 11.13006639747796)"
119,SC,26,1LILO -119,40.4502058956252,2.7,129.35495,"13°20'50""LT",11.13006639747796,78.4595821531417,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4595821531417 11.13006639747796, 78.4623121510372 11.130182398592558)"
120,SA,26,119-120,298.663808876963,3.17,145.761261,,11.130182398592558,78.4623121510372,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4623121510372 11.130182398592558, 78.46518114827049 11.130321405727525)"
121,SA,26,120-121,313.956693270194,1.95,144.163086,,11.130321405727525,78.46518114827049,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46518114827049 11.130321405727525, 78.46798814500845 11.130480401410844)"
122,SA,26,121-122,307.306330610747,2.11,146.397873,,11.130480401410844,78.46798814500845,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46798814500845 11.130480401410844, 78.47112314205741 11.13063640474048)"
123,SA,26,122-123,343.08599988518,3.78,150.271027,,11.13063640474048,78.47112314205741,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47112314205741 11.13063640474048, 78.47421413901438 11.13079240348456)"
124,SA,26,123-124,338.282032588216,4.55,156.614594,,11.13079240348456,78.47421413901438,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47421413901438 11.13079240348456, 78.47700013634797 11.130937405691135)"
125,SA,26,124-125,304.926941922176,4.01,160.020233,,11.130937405691135,78.47700013634797,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47700013634797 11.130937405691135, 78.47979913389229 11.131069398799232)"
126,SA,26,125-126,306.273049194258,2.77,163.815506,,11.131069398799232,78.47979913389229,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47979913389229 11.131069398799232, 78.48271213094701 11.131218405534897)"
127,SA,26,126-127,318.81034991892,,166.656189,,11.131218405534897,78.48271213094701,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48271213094701 11.131218405534897, 78.48550512886858 11.131372397712614)"
