SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,NADAKKAVU,2W,,,,,,,,,8.305372528,77.15456283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15456283 8.305372528, 77.15476455 8.305251121)"
1,1,,T,"03°22'42""RT",HC,21.94,Gantry Nadakkavu,25.97010012,2.76,40,8.305251121,77.15476455,NORMAL,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15476455 8.305251121, 77.15540025 8.304815596)"
2,2,,T,"45°17'42""RT",KC+3,27,T1-T2,85.01962185,2.43,40,8.304815596,77.15540025,NORMAL,AVAILABLE,33kv line,Road-2nos,Agri Land,"2 Road,33 kv Line,3 compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15540025 8.304815596, 77.15552665 8.304114713)"
3,3,,T,"53°04'45""LT",KC+3,27,T2-T3,78.77997172,2.53,38,8.304114713,77.15552665,NORMAL,AVAILABLE,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15552665 8.304114713, 77.15692174 8.303414679)"
4,4,,T,"43°17'51""LT",KC+3,27,T3-T4,172.1339163,2.71,27,8.303414679,77.15692174,NORMAL,AVAILABLE,,Road,Agri Land,"Road,compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15692174 8.303414679, 77.15829503 8.303821397)"
5,5,,T,"40°51'26""LT",KC+3,27,T4-T5,157.8753901,2.65,19,8.303821397,77.15829503,NORMAL,AVAILABLE,,,Agri Land,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15829503 8.303821397, 77.15933003 8.305401556)"
6,6,,S,,GC,23.62,T5-T6,208.7289955,1.48,21,8.305401556,77.15933003,NORMAL,AVAILABLE,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15933003 8.305401556, 77.16020175 8.306792948)"
7,7,,T,"09°17'39""RT",HC+3,24.94,T6-T7,181.4442237,2.45,31,8.306792948,77.16020175,NORMAL,AVAILABLE,,"Road,Pond",Agri Land,"pond crossing,road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16020175 8.306792948, 77.16143355 8.308161432)"
8,8,,T,"12°50'36""RT",HC,21.94,T7-T8,203.3360051,2.78,39,8.308161432,77.16143355,NORMAL,AVAILABLE,,,Agri Land,2 compound wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16143355 8.308161432, 77.1624434 8.308873039)"
9,9,,T,"57°30'19""RT",KC,21.94,T8-T9,136.3105301,2.54,46,8.308873039,77.1624434,NORMAL,AVAILABLE,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1624434 8.308873039, 77.16293491 8.308672981)"
10,10,,T,"15°04'59""LT",HC+3,24.94,T9-T10,58.50844261,2.98,42,8.308672981,77.16293491,NORMAL,AVAILABLE,"LT Line-2Nos,11kV line",Road,Agri Land,"2Nos  lt line,2Nos road,11 kv line,2Nos  compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16293491 8.308672981, 77.16355149 8.308596006)"
11,11,,T,"39°23'11""RT",KC+3,27,T10-T11,68.4730378,2.76,37,8.308596006,77.16355149,NORMAL,AVAILABLE,,Oadi bund,Agri Land,Oadi bund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16355149 8.308596006, 77.16463175 8.306369569)"
